text,label
SELECT * FROM users WHERE,SQLInjection
Cross-site scripting detected,XSS
Unknown binary executed,Malware
Executable launched from temp folder,Malware
API request completed,Normal
Multiple failed SSH login attempts,BruteForce
SQL injection attempt,SQLInjection
Cross-site scripting detected,XSS
Password changed successfully,Normal
Too many login attempts detected,BruteForce
Account locked after login failures,BruteForce
XSS payload blocked,XSS
SSH brute force detected,BruteForce
Email sent successfully,Normal
DROP TABLE command detected,SQLInjection
System health check passed,Normal
Encoded PowerShell command executed,Malware
API request completed,Normal
PowerShell downloading payload,Malware
DROP TABLE command detected,SQLInjection
Account locked after login failures,BruteForce
XSS payload blocked,XSS
Executable launched from temp folder,Malware
Report generated successfully,Normal
Suspicious process spawned,Malware
UNION SELECT detected,SQLInjection
Suspicious process spawned,Malware
Database backup completed,Normal
Cross-site scripting detected,XSS
Email sent successfully,Normal
System health check passed,Normal
Email sent successfully,Normal
Unknown binary executed,Malware
<script>alert('xss')</script>,XSS
SELECT * FROM users WHERE,SQLInjection
Malware signature detected,Malware
Unknown binary executed,Malware
Failed login from unknown IP,BruteForce
<script>alert('xss')</script>,XSS
Email sent successfully,Normal
Encoded PowerShell command executed,Malware
Report generated successfully,Normal
SQL injection attempt,SQLInjection
Malicious HTML submitted,XSS
Javascript injected into input,XSS
Database injection blocked,SQLInjection
SSH brute force detected,BruteForce
User logged in successfully,Normal
Database injection blocked,SQLInjection
Suspicious SQL statement,SQLInjection
Cross-site scripting detected,XSS
Malware signature detected,Malware
Repeated password failures,BruteForce
Report generated successfully,Normal
Dashboard viewed,Normal
File uploaded successfully,Normal
Executable launched from temp folder,Malware
SSH brute force detected,BruteForce
UNION SELECT detected,SQLInjection
Account locked after login failures,BruteForce
PowerShell downloading payload,Malware
API request completed,Normal
User logged in successfully,Normal
Executable launched from temp folder,Malware
API request completed,Normal
Cross-site scripting detected,XSS
Database injection blocked,SQLInjection
XSS payload blocked,XSS
XSS payload blocked,XSS
Multiple failed SSH login attempts,BruteForce
Executable launched from temp folder,Malware
Failed login from unknown IP,BruteForce
SELECT * FROM users WHERE,SQLInjection
Executable launched from temp folder,Malware
XSS payload blocked,XSS
Cross-site scripting detected,XSS
Unknown binary executed,Malware
Suspicious process spawned,Malware
Database backup completed,Normal
Rapid authentication failures,BruteForce
Malicious HTML submitted,XSS
Failed login from unknown IP,BruteForce
SELECT * FROM users WHERE,SQLInjection
Cross-site scripting detected,XSS
Malware signature detected,Malware
UNION SELECT detected,SQLInjection
Database query contains OR 1=1,SQLInjection
SELECT * FROM users WHERE,SQLInjection
SSH brute force detected,BruteForce
Database injection blocked,SQLInjection
Report generated successfully,Normal
Failed login from unknown IP,BruteForce
Encoded PowerShell command executed,Malware
Malware signature detected,Malware
DROP TABLE command detected,SQLInjection
Database backup completed,Normal
SQL injection attempt,SQLInjection
<script>alert('xss')</script>,XSS
Repeated password failures,BruteForce
System health check passed,Normal
Malware signature detected,Malware
DROP TABLE command detected,SQLInjection
Multiple failed SSH login attempts,BruteForce
Javascript injected into input,XSS
SELECT * FROM users WHERE,SQLInjection
Repeated password failures,BruteForce
PowerShell downloading payload,Malware
File uploaded successfully,Normal
DROP TABLE command detected,SQLInjection
Javascript injected into input,XSS
Report generated successfully,Normal
SQL injection attempt,SQLInjection
Suspicious process spawned,Malware
System health check passed,Normal
Account locked after login failures,BruteForce
SELECT * FROM users WHERE,SQLInjection
Rapid authentication failures,BruteForce
Account locked after login failures,BruteForce
API request completed,Normal
Failed login from unknown IP,BruteForce
SQL injection attempt,SQLInjection
Too many login attempts detected,BruteForce
Admin login failed 15 times,BruteForce
Too many login attempts detected,BruteForce
Account locked after login failures,BruteForce
Unknown binary executed,Malware
Cross-site scripting detected,XSS
UNION SELECT detected,SQLInjection
XSS payload blocked,XSS
<script>alert('xss')</script>,XSS
PowerShell downloading payload,Malware
Cross-site scripting detected,XSS
Multiple failed SSH login attempts,BruteForce
Dashboard viewed,Normal
Encoded PowerShell command executed,Malware
XSS payload blocked,XSS
Too many login attempts detected,BruteForce
Admin login failed 15 times,BruteForce
Executable launched from temp folder,Malware
Multiple failed SSH login attempts,BruteForce
Too many login attempts detected,BruteForce
Encoded PowerShell command executed,Malware
SQL injection attempt,SQLInjection
Failed login from unknown IP,BruteForce
Unknown binary executed,Malware
Unknown binary executed,Malware
DROP TABLE command detected,SQLInjection
Malware signature detected,Malware
Cross-site scripting detected,XSS
Password changed successfully,Normal
Password changed successfully,Normal
Multiple failed SSH login attempts,BruteForce
Suspicious SQL statement,SQLInjection
XSS payload blocked,XSS
Unknown binary executed,Malware
Suspicious process spawned,Malware
Javascript injected into input,XSS
Suspicious SQL statement,SQLInjection
Repeated password failures,BruteForce
Email sent successfully,Normal
SELECT * FROM users WHERE,SQLInjection
Malware signature detected,Malware
File uploaded successfully,Normal
Configuration updated,Normal
Executable launched from temp folder,Malware
UNION SELECT detected,SQLInjection
Account locked after login failures,BruteForce
Suspicious process spawned,Malware
Suspicious SQL statement,SQLInjection
DROP TABLE command detected,SQLInjection
Suspicious process spawned,Malware
DROP TABLE command detected,SQLInjection
Rapid authentication failures,BruteForce
Database query contains OR 1=1,SQLInjection
Encoded PowerShell command executed,Malware
User logged in successfully,Normal
API request completed,Normal
Cross-site scripting detected,XSS
Admin login failed 15 times,BruteForce
<script>alert('xss')</script>,XSS
UNION SELECT detected,SQLInjection
Executable launched from temp folder,Malware
Javascript injected into input,XSS
SQL injection attempt,SQLInjection
SQL injection attempt,SQLInjection
SSH brute force detected,BruteForce
Admin login failed 15 times,BruteForce
SQL injection attempt,SQLInjection
API request completed,Normal
XSS payload blocked,XSS
Javascript injected into input,XSS
Malicious HTML submitted,XSS
Suspicious SQL statement,SQLInjection
Email sent successfully,Normal
Executable launched from temp folder,Malware
Failed login from unknown IP,BruteForce
Account locked after login failures,BruteForce
Javascript injected into input,XSS
Account locked after login failures,BruteForce
Malware signature detected,Malware
Cross-site scripting detected,XSS
SSH brute force detected,BruteForce
XSS payload blocked,XSS
Encoded PowerShell command executed,Malware
Suspicious SQL statement,SQLInjection
Repeated password failures,BruteForce
Executable launched from temp folder,Malware
Rapid authentication failures,BruteForce
Database backup completed,Normal
Javascript injected into input,XSS
Cross-site scripting detected,XSS
Executable launched from temp folder,Malware
PowerShell downloading payload,Malware
Suspicious SQL statement,SQLInjection
UNION SELECT detected,SQLInjection
Dashboard viewed,Normal
SQL injection attempt,SQLInjection
Configuration updated,Normal
Email sent successfully,Normal
SQL injection attempt,SQLInjection
Database query contains OR 1=1,SQLInjection
Failed login from unknown IP,BruteForce
Cross-site scripting detected,XSS
Repeated password failures,BruteForce
PowerShell downloading payload,Malware
Malicious HTML submitted,XSS
Too many login attempts detected,BruteForce
Javascript injected into input,XSS
Repeated password failures,BruteForce
Repeated password failures,BruteForce
Encoded PowerShell command executed,Malware
Malware signature detected,Malware
Unknown binary executed,Malware
<script>alert('xss')</script>,XSS
DROP TABLE command detected,SQLInjection
Suspicious SQL statement,SQLInjection
Repeated password failures,BruteForce
XSS payload blocked,XSS
File uploaded successfully,Normal
DROP TABLE command detected,SQLInjection
Executable launched from temp folder,Malware
Dashboard viewed,Normal
